"","Value","Age","Overall","Potential","Nationality","International.Reputation","Preferred.Foot.Right","Weak.Foot","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","DefensiveAwareness","Wage","Special","Height","Weight","Release.Clause"
"55",1.3e+07,32,81,81,"Slovakia",2,1,2,79,78,80,79,82,19,40000,1329,190,80,24700000
"56",250000,43,72,72,"Argentina",1,1,3,73,70,77,69,70,21,4000,1328,182,74,375000
"57",85500000,29,89,91,"Belgium",4,0,3,84,89,74,86,88,20,250000,1327,199,96,181700000
"58",1.3e+07,32,81,81,"Netherlands",3,1,3,81,80,78,81,79,18,33000,1325,185,83,27300000
"59",4400000,34,81,81,"Spain",2,0,2,78,81,78,83,80,20,14000,1322,190,86,8800000
"60",130000,35,68,68,"Netherlands",2,1,4,67,62,65,67,73,14,2000,1322,181,78,189000
"61",2100000,20,67,79,"England",1,0,2,67,65,66,64,68,20,5000,1321,187,75,4400000
"62",1.2e+07,26,77,82,"United States",1,1,3,78,73,74,72,83,13,73000,1321,191,86,23100000
"64",925000,32,71,71,"China PR",1,1,3,70,69,70,68,72,27,9000,1320,185,75,1400000
"65",2400000,28,73,74,"England",2,1,4,73,68,66,74,75,23,31000,1319,196,95,4700000
"66",1.9e+07,25,79,83,"Turkey",1,1,3,80,75,73,78,81,17,23000,1318,191,82,39400000
"67",1300000,34,76,76,"Spain",1,1,3,78,74,67,75,76,22,10000,1317,187,82,2100000
"68",1600000,38,78,78,"Spain",3,1,3,77,78,79,79,77,20,27000,1317,188,92,2700000
"69",4.2e+07,31,87,87,"Poland",3,1,3,86,82,73,87,88,20,105000,1317,195,90,69300000
"70",4300000,29,75,76,"Argentina",1,0,2,75,73,73,75,77,24,12000,1316,187,67,6800000
"71",1.3e+07,32,81,81,"Czech Republic",1,1,3,83,77,74,80,84,20,2000,1315,188,85,27300000
"72",130000,36,68,68,"Chile",1,1,2,69,63,68,64,68,11,2000,1313,183,79,182000
"75",1500000,27,70,72,"Spain",1,0,5,69,66,74,70,73,20,6000,1311,187,74,2500000
"76",3500000,23,73,77,"Venezuela",1,1,3,70,69,69,74,76,25,14000,1311,180,77,7300000
"77",180000,36,70,70,"Australia",1,1,2,70,67,76,70,67,27,2000,1310,188,90,225000
"78",5.2e+07,29,86,87,"Belgium",3,0,2,85,83,80,84,87,11,88000,1309,197,86,92300000
"79",14500000,29,80,80,"Argentina",3,1,3,80,79,78,79,80,15,31000,1308,189,84,30500000
"80",1e+06,33,73,73,"Spain",1,1,3,71,73,73,72,74,25,8000,1307,186,85,1600000
"81",1e+06,33,73,73,"Spain",1,1,4,72,75,71,70,73,22,31000,1307,184,79,1900000
"82",2e+06,26,71,75,"Germany",1,1,3,72,68,76,68,73,21,13000,1306,188,83,3800000
"83",1900000,24,70,75,"Serbia",1,1,3,69,69,78,69,70,11,13000,1306,202,90,3400000
"84",180000,37,70,70,"Serbia",2,1,3,66,68,66,72,69,23,6000,1306,193,96,297000
"85",3700000,30,75,75,"Panama",1,0,1,79,69,67,71,76,30,600,1305,190,80,8e+06
"86",1200000,39,77,77,"Scotland",2,1,3,77,75,70,78,79,15,23000,1305,183,74,2200000
"87",3e+06,31,75,75,"Spain",1,1,3,76,74,67,70,79,18,8000,1303,187,77,4800000
"88",5500000,33,79,79,"Chile",1,1,3,79,73,73,80,83,27,18000,1303,188,82,8300000
"89",28500000,31,85,85,"Hungary",3,1,2,85,84,76,82,86,25,87000,1303,191,86,48500000
"90",17500000,29,80,82,"Spain",1,0,2,79,77,70,81,82,18,25000,1300,186,81,39800000
"91",625000,37,75,75,"Netherlands",1,1,4,74,72,85,77,74,14,8000,1300,188,88,875000
"92",1300000,38,79,79,"Spain",4,0,2,82,73,60,83,77,24,8000,1300,185,84,2600000
"93",1.9e+07,26,79,83,"Spain",2,1,4,78,77,85,76,81,19,76000,1299,186,88,36600000
"94",1.6e+07,29,80,81,"Serbia",1,0,2,77,79,78,80,81,19,26000,1299,194,94,34800000
"96",8e+06,26,76,80,"Switzerland",1,1,3,77,75,74,75,77,11,13000,1297,192,90,12600000
"97",4600000,25,74,78,"Spain",1,1,3,73,73,76,70,74,28,27000,1297,183,75,9500000
"98",1300000,28,71,71,"Italy",1,1,3,69,71,83,70,70,25,8000,1297,184,83,1800000
"99",5500000,33,79,79,"Argentina",3,1,3,78,75,79,78,83,14,81000,1296,192,86,10500000
"101",3600000,34,80,80,"Argentina",1,1,3,78,76,67,79,85,15,17000,1294,189,88,5e+06
"102",3700000,30,75,75,"Netherlands",2,1,4,74,74,75,75,77,25,13000,1294,189,88,6700000
"103",1500000,35,74,74,"Netherlands",2,1,3,74,72,70,73,75,22,30000,1293,184,84,2900000
"104",450000,33,69,69,"Scotland",1,1,3,70,68,69,68,69,24,17000,1293,188,83,810000
"105",2700000,26,72,77,"Spain",1,0,3,71,74,67,72,73,12,7000,1292,189,82,4500000
"106",825000,35,76,76,"England",2,1,3,74,75,74,78,75,16,42000,1291,188,85,1500000
"107",2800000,32,75,75,"Turkey",1,1,2,73,72,76,78,79,22,28000,1290,196,92,5300000
"108",12500000,25,77,82,"Argentina",1,1,2,76,74,73,79,77,27,13000,1290,195,95,18400000
"109",7500000,36,86,86,"Slovenia",3,1,3,81,81,65,92,87,25,78000,1289,193,92,12800000
"110",2.6e+07,26,81,84,"Spain",1,1,4,84,74,80,84,82,14,31000,1287,191,83,56600000
"111",150000,35,69,69,"Japan",1,0,3,68,66,73,69,72,13,3000,1287,183,81,195000
"112",7e+06,33,80,80,"Belgium",3,1,3,80,75,76,84,82,7,24000,1287,193,87,9800000
"113",1400000,29,71,72,"Turkey",1,1,2,71,70,68,70,74,14,8000,1287,187,85,2900000
"114",5e+06,32,77,77,"Colombia",1,0,3,76,72,69,75,78,23,12000,1286,187,82,8500000
"115",475000,37,74,74,"Belgium",2,1,2,72,71,73,75,74,20,21000,1284,184,74,808000
"116",34500000,24,82,86,"Spain",3,1,3,82,77,76,85,84,11,24000,1283,190,89,7.5e+07
"118",1.8e+07,28,80,82,"Argentina",2,1,2,80,79,72,80,83,17,32000,1281,191,93,35600000
"119",1.6e+07,30,80,81,"Argentina",1,1,3,76,79,82,81,83,25,43000,1281,194,83,26800000
"120",2400000,33,76,76,"Mexico",1,1,2,75,70,67,79,79,25,18000,1280,183,86,4100000
"121",625000,37,75,75,"Spain",1,0,2,74,75,73,74,75,20,5000,1279,188,82,1e+06
"122",2600000,21,68,80,"Serbia",1,1,3,70,64,63,65,70,12,3000,1277,189,83,5700000
"123",3500000,29,74,76,"Portugal",1,1,3,78,72,64,71,75,21,9000,1277,183,78,7300000
"124",1100000,27,68,70,"Chile",1,1,2,66,63,58,68,72,16,3000,1276,190,75,1600000
"125",8e+05,32,70,70,"Mexico",1,1,3,70,70,74,69,69,21,6000,1276,184,83,1300000
"126",6500000,28,76,78,"Belgium",1,0,2,77,73,75,77,79,23,18000,1276,188,88,10200000
"127",2900000,36,81,81,"France",3,1,3,80,80,78,81,81,13,24000,1275,185,82,5500000
"128",2.5e+07,29,83,83,"England",1,1,3,81,83,75,83,84,14,45000,1275,199,76,47500000
"129",3e+06,24,72,78,"Spain",1,1,3,72,70,68,73,72,13,10000,1275,184,75,7200000
"130",2100000,32,74,74,"Uruguay",2,1,3,72,73,72,76,74,25,12000,1273,186,70,3500000
"131",20500000,28,81,82,"Spain",1,1,3,81,80,72,80,82,22,30000,1273,192,85,44600000
"132",4500000,24,72,80,"Austria",1,0,4,70,68,73,72,74,17,9000,1273,182,81,7400000
"133",1200000,29,69,71,"Suriname",1,1,2,72,65,65,65,74,12,4000,1272,190,88,1800000
"134",475000,35,74,74,"Spain",2,1,2,71,73,72,71,77,20,5000,1272,192,96,760000
"136",1600000,31,73,73,"Sweden",1,1,2,72,72,71,74,74,26,13000,1271,189,84,2100000
"137",1700000,28,71,74,"Germany",1,1,3,72,67,70,68,74,19,8000,1270,188,85,2800000
"138",2700000,21,69,80,"Netherlands",1,1,2,70,65,64,71,68,19,4000,1270,190,81,4300000
"139",2300000,43,80,80,"Italy",4,1,2,76,73,70,90,76,13,18000,1270,192,92,4100000
"140",1.8e+07,28,80,82,"Italy",2,1,3,80,80,71,79,82,20,64000,1268,188,77,31100000
"141",130000,35,68,68,"Colombia",1,1,3,70,67,73,66,63,22,1000,1268,181,76,176000
"142",5500000,30,76,77,"England",1,1,2,77,73,68,75,78,17,28000,1268,190,88,10900000
"143",1300000,29,71,71,"Sweden",1,1,3,70,69,68,69,72,23,8000,1267,188,84,1600000
"144",5500000,33,79,79,"France",3,1,3,80,79,74,78,79,13,28000,1266,188,93,1.1e+07
"146",1200000,30,71,71,"Spain",1,1,3,73,67,73,70,71,25,6000,1264,183,75,1900000
"147",2100000,32,74,74,"Curacao",1,1,3,76,69,68,71,77,17,6000,1264,188,81,3200000
"148",1500000,32,73,73,"Morocco",1,1,3,73,72,68,70,75,15,9000,1264,190,89,3e+06
"149",1.7e+07,25,80,80,"Brazil",1,1,3,81,75,78,81,79,16,33000,1264,182,74,30600000
"150",5e+06,29,76,76,"Italy",2,1,2,76,74,68,76,78,26,33000,1263,192,87,8500000
"152",650000,31,68,68,"China PR",1,1,3,66,67,64,69,70,29,7000,1262,190,81,1e+06
"153",475000,38,74,74,"Uruguay",1,1,3,71,73,71,75,76,27,2000,1262,184,84,665000
"154",3400000,36,82,82,"Poland",2,1,2,82,82,71,83,82,14,43000,1261,190,83,6500000
"155",1.6e+07,31,82,82,"Germany",2,1,1,81,80,79,79,82,15,37000,1261,187,82,27200000
"156",6e+06,24,75,78,"France",2,1,2,75,73,72,75,77,15,11000,1261,181,70,12500000
"157",1600000,38,78,78,"England",2,0,3,78,77,73,78,78,22,27000,1260,193,90,3e+06
"159",1400000,27,70,71,"Germany",1,1,4,70,66,74,67,73,22,7000,1260,183,80,2300000
"160",9500000,21,77,77,"Brazil",1,1,3,79,77,75,77,71,16,18000,1259,183,77,18100000
"161",950000,28,68,69,"England",1,0,2,69,67,66,67,67,11,3000,1258,187,82,1700000
"162",23500000,27,81,83,"Greece",1,1,3,84,78,67,78,84,17,14000,1258,191,78,48800000
"163",2200000,31,74,74,"Norway",1,1,2,76,68,70,75,78,27,6000,1258,189,87,2800000
"164",850000,31,70,70,"Spain",1,1,3,70,67,64,67,72,16,5000,1258,179,72,1300000
"165",9500000,23,75,82,"England",1,1,3,78,73,71,71,78,18,38000,1258,188,77,2e+07
"166",525000,33,70,70,"Italy",1,1,3,68,67,66,70,71,23,18000,1257,189,77,998000
"167",1200000,31,72,72,"Austria",1,0,3,72,68,75,69,74,22,12000,1257,183,81,1800000
"168",180000,38,70,70,"Chile",1,1,3,72,68,74,68,69,17,1000,1257,184,89,243000
"170",2300000,35,80,80,"Mexico",1,1,3,79,75,71,81,83,21,27000,1255,190,85,3900000
"171",825000,36,76,76,"Croatia",3,1,2,74,74,74,74,74,14,550,1254,191,84,1800000
"172",2200000,31,74,74,"Spain",1,0,3,73,73,72,74,73,15,12000,1253,190,86,4600000
"173",475000,36,74,74,"Spain",1,1,2,73,72,73,74,75,15,13000,1252,188,79,998000
"174",3800000,25,73,79,"Colombia",1,1,2,75,69,66,71,75,24,11000,1252,182,80,9100000
"175",5500000,30,76,77,"Netherlands",2,1,2,79,73,69,75,76,11,15000,1251,193,83,11400000
"176",575000,19,60,78,"Portugal",1,1,3,60,56,57,54,60,18,550,1251,186,85,1600000
"177",3600000,28,74,76,"Mexico",1,1,2,73,73,65,74,73,20,15000,1251,179,74,6400000
"178",20500000,30,82,82,"Morocco",1,0,2,82,79,76,81,84,20,29000,1251,192,78,43100000
"179",3e+06,27,73,76,"Canada",1,1,2,71,70,70,73,74,10,6000,1250,180,88,4600000
"180",2400000,25,72,75,"Italy",2,1,2,72,69,60,70,79,15,650,1250,193,77,5300000
"181",3.6e+07,24,80,87,"England",2,1,3,80,79,78,76,83,15,70000,1250,188,85,73800000
"182",450000,33,69,69,"England",1,1,4,70,66,66,69,71,22,3000,1250,198,85,788000
"183",575000,30,66,66,"Czech Republic",1,1,3,66,64,63,65,66,20,3000,1250,189,80,1e+06
"184",13500000,29,79,80,"Spain",1,1,3,77,76,76,77,82,26,20000,1250,180,70,29400000
"185",2700000,23,69,77,"Colombia",1,1,2,69,67,64,69,70,14,3000,1250,190,81,4900000
"187",1600000,27,70,73,"Mexico",1,1,3,68,70,68,68,73,24,18000,1248,183,84,2700000
"188",1.4e+07,30,80,80,"Switzerland",3,1,2,81,79,60,77,86,11,46000,1248,187,85,23800000
"189",3e+06,31,75,75,"England",1,1,2,74,74,61,75,80,13,34000,1246,193,79,5700000
"190",2800000,28,73,76,"Sweden",1,0,3,72,71,76,71,74,23,10000,1246,188,86,3700000
"191",3400000,33,77,77,"Netherlands",2,0,2,77,75,71,77,79,14,27000,1245,188,74,6800000
"192",110000,36,67,67,"Denmark",2,1,2,68,66,68,64,67,23,700,1245,193,85,138000
"193",4e+05,33,68,68,"England",1,1,3,69,64,67,64,75,29,9000,1245,195,90,760000
"194",725000,34,74,74,"Spain",2,1,2,77,70,68,72,77,18,53000,1244,190,80,1300000
"195",1400000,28,70,72,"Mexico",1,1,3,72,69,65,68,75,14,10000,1243,181,86,2500000
"196",2300000,35,80,80,"Russia",3,1,3,77,72,78,82,84,18,26000,1243,186,78,3700000
"197",5e+06,34,82,82,"Italy",3,1,2,82,77,76,84,80,14,20000,1243,192,85,9e+06
"198",9500000,28,77,80,"England",2,1,3,79,74,70,76,79,22,35000,1243,193,85,18800000
"199",2e+06,30,73,73,"China PR",1,1,3,72,70,69,72,74,13,14000,1243,191,83,3100000
"200",4500000,28,75,76,"Germany",2,1,3,80,68,75,72,79,9,61000,1243,189,87,8700000
"201",7e+06,27,76,78,"Senegal",1,1,3,76,76,70,75,76,18,30000,1242,196,80,13800000
"202",1.5e+07,28,79,81,"Brazil",1,1,3,82,75,73,77,83,16,15000,1242,190,84,31100000
"203",180000,35,70,70,"Republic of Ireland",1,0,4,68,70,68,72,71,20,6000,1242,187,86,342000
"204",750000,33,72,72,"Ecuador",1,1,3,71,68,74,75,72,26,9000,1242,195,84,1100000
"205",4e+05,25,61,67,"Jamaica",1,0,3,61,58,57,61,64,25,2000,1242,193,78,840000
"207",750000,33,72,72,"Brazil",1,1,2,73,72,70,64,76,12,6000,1240,188,88,1600000
"208",20500000,30,82,82,"Germany",3,1,4,82,78,79,82,84,15,31000,1240,189,88,34900000
"209",275000,30,62,62,"Australia",1,1,3,62,60,64,61,62,15,2000,1239,185,84,481000
"210",475000,21,60,70,"Portugal",1,1,3,56,58,57,57,59,26,650,1239,188,82,1100000
"211",675000,38,75,75,"Brazil",2,1,1,78,70,58,75,79,19,26000,1239,191,95,1300000
"212",1500000,32,73,73,"Turkey",1,1,4,70,75,74,73,72,13,14000,1238,186,83,2300000
"213",1200000,26,67,72,"Argentina",1,1,3,66,68,67,64,71,16,5000,1238,187,84,1900000
"214",2600000,25,72,76,"England",1,1,3,73,70,69,69,74,20,17000,1238,196,77,5400000
"216",475000,35,74,74,"United States",2,1,2,75,70,67,75,74,12,4000,1238,191,88,713000
"217",1200000,35,77,77,"Romania",2,1,3,77,74,74,78,78,12,18000,1238,198,90,2e+06
"218",350000,35,73,73,"United States",1,1,2,73,68,73,74,73,15,4000,1238,183,93,525000
"219",1.1e+07,29,78,79,"Russia",1,1,3,79,73,65,77,82,18,39000,1238,190,80,19500000
"220",80000,38,65,65,"England",1,1,4,65,67,69,64,63,20,11000,1237,193,83,148000
"221",11500000,30,79,79,"Italy",1,1,3,82,77,63,80,82,8,16000,1237,191,80,20700000
"222",2e+06,25,70,76,"Norway",1,1,3,71,66,66,67,74,16,2000,1236,189,80,2900000
"223",1500000,32,73,73,"United States",1,1,2,73,67,70,70,76,16,6000,1235,190,98,2300000
"224",90000,37,68,68,"Oman",2,1,2,69,58,66,67,73,30,8000,1235,193,93,171000
"225",2400000,25,72,75,"France",1,0,3,71,69,68,71,76,10,5000,1235,187,86,4e+06
"226",2200000,31,74,74,"Peru",1,1,3,75,71,69,72,75,23,6000,1235,191,79,3300000
"227",1400000,28,70,72,"Mexico",1,1,2,74,60,63,72,72,16,19000,1234,186,85,2500000
"228",350000,36,73,73,"Spain",1,1,3,71,69,67,74,75,17,10000,1234,186,81,770000
"229",1900000,23,70,75,"Denmark",1,1,3,72,67,69,67,70,22,4000,1233,195,87,3e+06
"230",1200000,24,67,72,"Cameroon",1,1,2,70,61,59,67,73,19,5000,1233,185,87,2600000
"231",1400000,23,65,73,"England",1,1,3,66,61,65,64,68,10,2000,1233,191,70,2700000
"233",17500000,22,78,83,"France",2,1,3,80,76,69,74,82,20,18000,1232,196,90,36300000
"234",6e+05,32,68,68,"United States",1,1,3,67,62,70,68,68,25,3000,1231,188,75,9e+05
"236",2.7e+07,23,78,86,"Netherlands",1,1,2,81,75,77,74,80,16,8000,1231,188,76,45900000
"237",8500000,29,77,79,"Belgium",2,1,2,76,75,75,76,76,14,20000,1230,190,88,17600000
"238",1800000,33,75,75,"Spain",1,1,3,76,75,80,73,72,16,15000,1230,187,89,3e+06
"239",9500000,23,76,82,"Spain",1,1,4,76,73,69,75,78,18,31000,1230,197,85,2e+07
"240",4800000,28,75,77,"Greece",1,1,2,77,72,68,74,80,17,700,1230,189,75,10900000
"241",1100000,30,70,70,"England",1,0,3,68,69,72,70,71,12,12000,1229,185,75,2100000
"242",350000,36,73,73,"Germany",1,1,2,74,69,66,73,77,17,13000,1229,191,84,595000
"243",675000,30,67,67,"China PR",1,1,1,68,64,62,63,69,25,5000,1229,196,92,1e+06
"244",725000,34,74,74,"England",2,1,3,68,76,66,75,76,16,32000,1228,196,91,1300000
"245",4600000,33,78,78,"Switzerland",2,1,3,81,74,79,77,79,13,39000,1228,194,89,7800000
"246",7e+06,32,78,78,"Algeria",2,1,3,79,73,69,78,83,12,17000,1228,184,80,1.4e+07
"247",210000,34,68,68,"Saudi Arabia",1,1,3,57,72,75,67,72,30,11000,1228,189,92,357000
"248",2700000,24,70,77,"Sweden",1,0,3,72,62,77,66,74,25,3000,1228,181,84,5300000
"249",725000,25,65,68,"Denmark",1,1,3,67,62,69,62,67,17,3000,1227,186,73,961000
"250",1.5e+07,28,79,81,"Portugal",1,1,2,80,77,62,76,83,14,65000,1227,192,84,29600000
"251",1.2e+07,23,77,81,"Poland",1,1,2,79,73,70,77,80,20,30000,1227,188,74,21300000
"252",1200000,32,72,72,"Paraguay",1,1,3,76,69,69,68,75,15,750,1227,184,89,2600000
"254",210000,40,71,71,"Brazil",1,1,2,71,71,60,71,69,16,5000,1226,185,78,441000
"255",2600000,28,73,75,"Belgium",1,1,3,72,75,69,67,74,17,27000,1225,188,70,5100000
"256",9500000,29,78,78,"Russia",1,1,2,78,79,73,76,78,15,10000,1224,192,85,2e+07
"257",23500000,27,81,83,"Italy",1,1,3,82,80,73,80,84,20,32000,1224,184,78,41700000
"259",4600000,25,75,75,"Brazil",1,0,2,76,70,77,75,75,23,19000,1224,188,82,8700000
"260",2100000,32,74,74,"Sweden",1,1,3,73,70,68,74,75,17,6000,1224,188,87,2600000
"261",210000,37,71,71,"Spain",1,1,3,71,72,68,71,71,18,4000,1223,187,72,336000
"262",1200000,31,72,72,"Philippines",1,1,2,73,65,61,73,75,12,12000,1223,191,85,2300000
"263",2800000,27,73,75,"England",1,1,3,77,66,68,72,73,30,21000,1223,188,72,5500000
"265",1e+06,28,68,70,"Scotland",1,1,3,69,65,67,66,71,15,3000,1223,188,78,1800000
"266",23500000,27,81,83,"Argentina",1,1,3,82,78,73,82,86,12,44000,1222,191,93,41700000
"267",1e+06,31,71,71,"England",1,1,2,72,69,68,71,71,15,16000,1222,189,88,1900000
"268",350000,37,73,73,"Poland",1,1,2,72,71,68,73,74,22,4000,1222,187,82,473000
"269",240000,40,71,71,"United States",3,1,3,72,72,72,71,68,18,2000,1221,191,88,348000
"270",775000,26,65,69,"Argentina",1,1,4,66,64,63,64,63,18,2000,1220,186,85,1300000
"271",1600000,31,73,73,"Spain",1,1,2,73,72,68,69,73,15,8000,1220,185,85,2600000
"273",950000,34,75,75,"Bosnia and Herzegovina",3,1,2,76,77,73,73,74,18,47000,1220,199,101,1800000
"274",2800000,23,72,77,"France",1,1,3,73,69,65,69,75,14,11000,1220,180,85,5800000
"275",1600000,36,78,78,"Italy",2,1,2,77,79,68,79,76,10,24000,1219,193,79,2700000
"276",6e+06,25,75,79,"Spain",1,1,3,79,75,73,73,74,25,15000,1219,189,80,13100000
"278",2800000,30,74,74,"Argentina",1,1,2,75,72,63,73,76,15,10000,1219,181,76,4200000
"279",5e+05,32,67,67,"United States",1,1,3,69,61,66,65,69,13,2000,1218,188,86,750000
"280",1900000,25,70,75,"Spain",1,1,3,67,70,67,67,72,30,9000,1218,185,71,4100000
"281",475000,38,74,74,"Argentina",2,1,3,74,72,71,76,74,14,30000,1218,186,83,903000
"282",1800000,30,72,73,"Germany",1,1,3,71,70,67,71,76,10,5000,1218,193,88,2700000
"283",2500000,26,72,76,"France",1,1,4,72,71,74,70,73,13,11000,1218,188,70,3900000
"284",625000,37,75,75,"Ukraine",2,1,3,72,69,78,83,73,12,500,1218,190,92,1300000
"285",450000,18,58,75,"New Zealand",1,1,3,57,52,58,53,64,13,500,1218,183,74,844000
"286",1200000,35,77,77,"Russia",2,1,2,81,71,73,76,80,14,22000,1218,195,95,1900000
"287",1100000,26,68,69,"France",2,1,3,69,67,69,66,71,9,10000,1218,181,84,2200000
"288",9500000,27,77,79,"Spain",2,1,3,77,74,77,74,80,16,49000,1217,196,90,18300000
"289",2900000,34,75,75,"Argentina",1,1,2,76,72,76,74,75,13,21000,1216,188,79,6100000
"291",2300000,30,73,74,"Argentina",1,1,3,74,70,69,73,75,18,11000,1216,188,78,3600000
"292",1700000,27,71,73,"Belgium",1,1,3,75,70,64,69,72,12,11000,1216,187,87,2700000
"293",1200000,30,71,71,"Norway",1,1,4,70,70,76,71,72,17,16000,1216,192,90,2300000
"294",2200000,26,72,74,"Germany",1,0,3,67,74,61,73,72,14,9000,1215,187,83,3600000
"296",2.1e+07,26,80,83,"Albania",1,1,2,82,77,74,77,84,20,48000,1215,193,78,37300000
"297",150000,38,69,69,"Italy",2,0,3,66,67,62,70,67,9,4000,1215,188,83,270000
"298",350000,38,73,73,"Portugal",2,1,3,74,69,75,72,72,17,3000,1214,182,76,735000
"300",425000,31,66,66,"Ghana",1,1,3,64,64,65,65,67,8,1000,1214,190,76,531000
"301",3e+07,24,79,86,"Italy",2,0,3,80,74,70,78,82,10,40000,1214,190,83,5.7e+07
"302",325000,33,67,67,"Northern Ireland",1,1,2,66,66,65,67,66,15,2000,1214,182,80,569000
